order_id,customer_id,order_date,category,order_value_zar,points_redeemed,order_status,checkout_error
O0000068,C010573,2026-05-02,Fashion,3935.40,0,Delivered,
O0000069,C000741,2026-06-26,Electronics,1475.04,0,Delivered,
O0000070,C000291,2026-03-11,Fashion,1867.91,483,Delivered,
O0000071,C003316,2026-05-08,Home,227.48,0,Delivered,
O0000072,C006384,2026-01-13,Beauty,1913.00,0,Delivered,
O0000073,C001833,2026-01-13,Beauty,2274.63,0,Returned,
O0000074,C002542,2026-01-13,Electronics,2649.68,1646,Delivered,
O0000075,C004238,2026-01-02,Grocery,4272.45,0,Delivered,
O0000076,C000273,2026-05-14,Beauty,1149.10,1349,Failed,loyalty_redemption_timeout
O0000077,C005403,2026-01-07,Electronics,2651.81,0,Delivered,
O0000078,C008715,2026-04-06,Beauty,4111.78,0,Returned,
O0000079,C006905,2026-02-19,Beauty,1771.11,1467,Delivered,
O0000080,C002763,2026-02-19,Electronics,4236.21,1458,Returned,
O0000081,C003406,2026-01-12,Grocery,2581.05,0,Returned,
O0000082,C004540,2026-05-01,Grocery,4060.61,0,Delivered,
O0000083,C011514,2026-03-05,Grocery,2297.72,0,Delivered,
O0000084,C007663,2026-05-24,Fashion,1182.09,0,Delivered,
O0000085,C009430,2026-07-03,Grocery,604.58,0,Returned,
O0000086,C008448,2026-05-25,Home,216.04,379,Delivered,
O0000087,C000501,2026-04-15,Electronics,2188.16,0,Delivered,
O0000088,C006659,2026-01-27,Grocery,4309.05,0,Delivered,
O0000089,C006623,2026-06-13,Grocery,2533.34,585,Delivered,
O0000090,C004940,2026-07-26,Fashion,3018.45,0,Delivered,
O0000091,C005523,2026-06-06,Fashion,2353.74,0,Delivered,
O0000092,C009623,2026-07-03,Grocery,3109.09,1110,Returned,
O0000093,C001149,2026-02-09,Electronics,3136.47,1561,Delivered,
O0000094,C008335,2026-06-05,Beauty,1815.48,0,Delivered,
O0000095,C010041,2026-07-25,Fashion,1329.93,0,Delivered,
O0000096,C008275,2026-07-24,Fashion,3472.26,0,Delivered,
O0000097,C008911,2026-01-23,Fashion,1356.75,0,Delivered,
O0000098,C006757,2026-06-27,Grocery,3754.72,0,Returned,
O0000099,C002033,2026-02-14,Grocery,1505.34,0,Delivered,
O0000100,C009539,2026-04-05,Electronics,3660.26,498,Delivered,
O0000101,C002593,2026-07-10,Electronics,3902.88,0,Delivered,
O0000102,C010385,2026-04-01,Home,3749.10,0,Delivered,
O0000103,C004492,2026-06-19,Grocery,4047.19,0,Delivered,
O0000104,C010591,2026-06-23,Beauty,408.20,0,Returned,
O0000105,C006686,2026-02-25,Beauty,896.86,0,Delivered,
O0000106,C009046,2026-01-26,Beauty,2321.77,0,Delivered,
O0000107,C006800,2026-05-14,Home,2749.79,0,Delivered,
O0000108,C003764,2026-07-12,Fashion,1062.19,0,Returned,
O0000109,C002871,2026-07-14,Electronics,710.01,0,Returned,
O0000110,C007974,2026-04-10,Grocery,683.87,1653,Delivered,
O0000111,C000349,2026-07-12,Grocery,3353.02,0,Returned,
O0000112,C005664,2026-04-16,Fashion,635.17,0,Delivered,
O0000113,C011103,2026-02-06,Home,1132.82,0,Delivered,
O0000114,C008937,2026-02-03,Electronics,2463.42,0,Delivered,
O0000115,C011105,2026-07-24,Beauty,2448.49,0,Delivered,
O0000116,C011327,2026-03-15,Grocery,1391.90,0,Delivered,
O0000117,C010886,2026-06-23,Beauty,2116.45,825,Returned,
O0000118,C008734,2026-01-25,Electronics,2482.17,0,Delivered,
O0000119,C011220,2026-03-27,Grocery,653.00,0,Delivered,
O0000120,C008879,2026-02-13,Fashion,2519.82,0,Delivered,
O0000121,C009285,2026-05-15,Beauty,442.88,959,Delivered,
O0000122,C010560,2026-02-27,Electronics,454.88,0,Delivered,
O0000123,C000620,2026-02-11,Electronics,2830.34,0,Delivered,
O0000124,C007426,2026-06-12,Beauty,3450.08,825,Delivered,
O0000125,C009047,2026-07-20,Grocery,3157.03,1291,Delivered,
O0000126,C002504,2026-03-12,Electronics,1450.92,971,Delivered,
O0000127,C000076,2026-04-24,Beauty,2127.91,0,Delivered,
O0000128,C009719,2026-07-26,Grocery,4075.84,0,Delivered,
O0000129,C011641,2026-04-09,Grocery,1752.11,0,Delivered,
O0000130,C004453,2026-04-23,Fashion,2058.04,904,Delivered,
O0000131,C006959,2026-05-15,Beauty,758.96,0,Delivered,
O0000132,C003401,2026-05-14,Grocery,1426.20,0,Delivered,
O0000133,C006630,2026-07-07,Fashion,2155.42,547,Delivered,
O0000134,C002101,2026-06-12,Beauty,3608.49,0,Delivered,
O0000135,C009196,2026-01-12,Grocery,986.49,0,Returned,
O0000136,C000973,2026-04-06,Fashion,4089.71,0,Delivered,
O0000137,C000336,2026-03-22,Fashion,525.09,480,Delivered,
O0000138,C004607,2026-01-11,Fashion,4221.45,0,Returned,
O0000139,C009331,2026-03-17,Beauty,1446.07,0,Delivered,
O0000140,C010627,2026-06-10,Beauty,3508.94,0,Delivered,
O0000141,C004576,2026-07-03,Fashion,2007.00,0,Delivered,
O0000142,C007773,2026-03-03,Fashion,2328.87,0,Delivered,
O0000143,C002660,2026-02-13,Beauty,1343.75,0,Delivered,
O0000144,C006463,2026-06-18,Home,3907.81,0,Delivered,
O0000145,C010147,2026-04-13,Electronics,3686.96,0,Delivered,
O0000146,C009219,2026-07-26,Beauty,1422.11,0,Delivered,
O0000147,C005553,2026-05-10,Grocery,3176.45,0,Delivered,
O0000148,C005216,2026-05-11,Fashion,2823.46,0,Delivered,
O0000149,C002223,2026-05-09,Electronics,2587.45,347,Delivered,
O0000150,C002605,2026-02-02,Grocery,3084.71,0,Delivered,
O0000151,C006592,2026-06-13,Fashion,1980.36,1360,Delivered,
O0000152,C009274,2026-06-04,Fashion,420.82,0,Delivered,
O0000153,C001918,2026-01-17,Home,1228.83,675,Returned,
O0000154,C006693,2026-03-01,Beauty,1498.16,0,Returned,
O0000155,C006905,2026-01-23,Beauty,2655.30,0,Delivered,
O0000156,C003623,2026-04-01,Beauty,2586.60,0,Delivered,
O0000157,C001588,2026-04-19,Fashion,453.72,0,Delivered,
O0000158,C009499,2026-06-24,Grocery,1275.48,0,Delivered,
O0000159,C010087,2026-01-22,Grocery,1036.61,931,Delivered,
O0000160,C011047,2026-02-25,Home,685.99,0,Delivered,
O0000161,C005846,2026-07-18,Fashion,2589.05,0,Delivered,
O0000162,C007759,2026-02-23,Fashion,510.62,0,Returned,
O0000163,C009353,2026-07-26,Electronics,625.11,0,Returned,
O0000164,C005149,2026-04-15,Home,1152.01,0,Delivered,
O0000165,C009098,2026-05-24,Grocery,4138.49,0,Delivered,
O0000166,C002900,2026-01-19,Electronics,1735.16,0,Delivered,
O0000167,C010090,2026-07-24,Beauty,1636.92,0,Delivered,
O0000168,C006727,2026-02-09,Home,1761.66,0,Delivered,
O0000169,C003077,2026-03-06,Grocery,3684.49,0,Returned,
O0000170,C003100,2026-06-14,Beauty,315.85,0,Delivered,
O0000171,C007917,2026-07-25,Beauty,2484.20,672,Delivered,
O0000172,C003046,2026-05-15,Home,413.29,1184,Delivered,
O0000173,C003206,2026-03-21,Home,1501.22,0,Delivered,
O0000174,C006796,2026-02-06,Electronics,3767.87,0,Delivered,
O0000175,C001595,2026-02-03,Fashion,3265.21,0,Delivered,
O0000176,C009071,2026-05-20,Beauty,598.91,0,Returned,
O0000177,C011749,2026-01-08,Beauty,3899.54,0,Returned,
O0000178,C001552,2026-07-20,Beauty,1888.56,0,Delivered,
O0000179,C004333,2026-07-01,Grocery,242.38,0,Delivered,
O0000180,C005216,2026-06-15,Grocery,3476.31,0,Returned,
O0000181,C009563,2026-04-10,Electronics,2190.19,0,Returned,
O0000182,C005959,2026-06-04,Fashion,4278.50,739,Returned,
O0000183,C011720,2026-05-02,Fashion,4307.96,0,Delivered,
O0000184,C008155,2026-02-11,Electronics,200.87,922,Delivered,
O0000185,C000298,2026-07-21,Beauty,2132.54,0,Delivered,
O0000186,C009161,2026-03-15,Grocery,2012.76,0,Delivered,
O0000187,C004608,2026-01-12,Beauty,2649.89,0,Returned,
O0000188,C010750,2026-03-27,Fashion,233.85,0,Returned,
O0000189,C009668,2026-06-21,Beauty,1868.83,0,Delivered,
O0000190,C010340,2026-02-23,Beauty,2234.48,0,Returned,
O0000191,C001461,2026-03-15,Grocery,2335.60,0,Delivered,
O0000192,C000436,2026-06-11,Fashion,3918.48,0,Delivered,
O0000193,C002134,2026-01-19,Electronics,2003.82,0,Delivered,
O0000194,C001997,2026-05-21,Grocery,2604.14,1426,Delivered,
O0000195,C005710,2026-04-16,Grocery,2182.47,0,Delivered,
O0000196,C002023,2026-04-01,Fashion,3884.39,0,Delivered,
O0000197,C003904,2026-06-13,Home,4342.72,0,Delivered,
O0000198,C010381,2026-03-26,Beauty,3064.73,0,Delivered,
O0000199,C006553,2026-03-18,Fashion,2856.27,1019,Returned,
O0000200,C001608,2026-03-19,Beauty,624.38,0,Delivered,
O0000201,C009516,2026-01-03,Grocery,1327.18,0,Delivered,
O0000202,C011408,2026-06-02,Beauty,2057.49,0,Delivered,
O0000203,C002899,2026-01-26,Home,839.33,0,Returned,
O0000204,C009363,2026-02-25,Fashion,276.66,1519,Delivered,
O0000205,C011966,2026-06-23,Electronics,4289.98,0,Delivered,
O0000206,C009253,2026-03-10,Beauty,401.21,0,Returned,
O0000207,C002248,2026-03-26,Beauty,3094.39,385,Delivered,
O0000208,C010062,2026-06-23,Grocery,3177.20,0,Delivered,
O0000209,C006671,2026-07-22,Beauty,2956.17,0,Delivered,
O0000210,C001557,2026-01-24,Grocery,819.58,0,Delivered,
O0000211,C001264,2026-05-15,Beauty,3577.49,997,Delivered,
O0000212,C009416,2026-01-27,Grocery,3659.67,0,Delivered,
O0000213,C001761,2026-01-24,Electronics,3883.79,0,Delivered,
O0000214,C003340,2026-05-03,Beauty,2117.65,0,Delivered,
O0000215,C001416,2026-05-12,Fashion,1118.35,0,Delivered,
O0000216,C001093,2026-07-01,Grocery,2939.34,0,Delivered,
O0000217,C001989,2026-06-07,Fashion,2945.12,0,Delivered,
O0000218,C009389,2026-07-20,Grocery,3524.94,0,Delivered,
O0000219,C007932,2026-01-21,Home,3630.34,0,Delivered,
O0000220,C002972,2026-05-10,Fashion,546.14,0,Returned,
O0000221,C000050,2026-07-09,Beauty,1099.65,0,Returned,
O0000222,C010934,2026-05-08,Beauty,2386.34,1572,Returned,
O0000223,C006706,2026-06-03,Beauty,3126.53,1546,Returned,
O0000224,C011558,2026-04-07,Home,2294.03,0,Delivered,
O0000225,C005230,2026-02-22,Electronics,4258.25,0,Delivered,
O0000226,C010016,2026-05-20,Electronics,636.05,0,Delivered,
O0000227,C000812,2026-03-25,Fashion,1731.12,0,Delivered,
O0000228,C003771,2026-02-04,Beauty,2840.18,0,Delivered,
O0000229,C005705,2026-04-18,Home,2025.63,0,Delivered,
O0000230,C011709,2026-01-07,Fashion,3000.08,0,Delivered,
O0000231,C000521,2026-01-23,Beauty,4049.06,904,Delivered,
O0000232,C003126,2026-01-18,Grocery,3945.12,409,Delivered,
O0000233,C010412,2026-02-05,Electronics,3258.33,0,Delivered,
O0000234,C000380,2026-07-07,Electronics,1830.37,0,Delivered,
O0000235,C011475,2026-03-21,Home,2021.60,0,Returned,
O0000236,C010213,2026-03-22,Beauty,1378.05,0,Delivered,
O0000237,C009956,2026-03-23,Electronics,1172.16,653,Returned,
O0000238,C008473,2026-06-14,Electronics,389.78,0,Returned,
O0000239,C004752,2026-07-18,Grocery,3164.63,0,Delivered,
O0000240,C006843,2026-01-27,Electronics,1231.44,0,Returned,
O0000241,C009533,2026-01-02,Grocery,3495.65,864,Delivered,
O0000242,C007185,2026-03-18,Grocery,3049.12,0,Delivered,
O0000243,C011882,2026-07-20,Fashion,3530.64,0,Delivered,
O0000244,C003261,2026-07-08,Fashion,1507.52,0,Returned,
O0000245,C009910,2026-07-19,Fashion,1610.28,0,Delivered,
O0000246,C007341,2026-05-24,Grocery,1592.90,0,Delivered,
O0000247,C003491,2026-07-18,Electronics,1208.64,0,Returned,
O0000248,C004977,2026-02-23,Fashion,2857.36,0,Delivered,
O0000249,C007241,2026-02-11,Grocery,627.45,0,Returned,
O0000250,C000991,2026-05-08,Electronics,2391.84,0,Returned,
O0000251,C001129,2026-01-20,Fashion,2508.01,511,Delivered,
O0000252,C006714,2026-06-10,Beauty,1680.64,0,Returned,
O0000253,C009788,2026-03-12,Fashion,537.68,0,Delivered,
O0000254,C002420,2026-03-01,Beauty,1753.32,0,Delivered,
O0000255,C008348,2026-03-22,Home,2421.57,1249,Delivered,
O0000256,C001450,2026-02-24,Beauty,1197.99,0,Delivered,
O0000257,C000320,2026-07-26,Fashion,372.70,0,Delivered,
O0000258,C008691,2026-07-13,Beauty,552.30,0,Delivered,
O0000259,C005958,2026-06-24,Electronics,2367.97,0,Delivered,
O0000260,C001470,2026-01-08,Home,3898.33,1575,Returned,
O0000261,C000539,2026-02-23,Electronics,1837.14,0,Delivered,
O0000262,C005829,2026-06-12,Fashion,1687.90,0,Delivered,
O0000263,C005302,2026-03-18,Electronics,1298.09,0,Returned,
O0000264,C000774,2026-04-24,Beauty,3310.34,0,Delivered,
O0000265,C004082,2026-03-16,Beauty,3531.15,0,Delivered,
O0000266,C009636,2026-01-01,Home,396.62,0,Delivered,
O0000267,C003761,2026-02-08,Grocery,449.42,1244,Delivered,
O0000268,C005925,2026-04-22,Home,381.62,0,Delivered,
O0000269,C005116,2026-05-26,Beauty,493.14,0,Delivered,
O0000270,C002812,2026-03-04,Home,1359.53,0,Delivered,
O0000271,C005893,2026-07-20,Beauty,4029.00,0,Delivered,
O0000272,C002138,2026-07-17,Electronics,2214.89,0,Delivered,
O0000273,C000227,2026-07-21,Grocery,1276.31,0,Delivered,
O0000274,C008949,2026-05-01,Home,586.99,0,Delivered,
O0000275,C007985,2026-06-19,Grocery,3146.98,0,Delivered,
O0000276,C007268,2026-03-12,Fashion,2542.62,136,Returned,
O0000277,C000149,2026-04-13,Grocery,4213.74,0,Delivered,
O0000278,C000713,2026-07-06,Home,921.44,0,Delivered,
O0000279,C005541,2026-01-15,Beauty,3669.91,0,Returned,
O0000280,C007923,2026-03-03,Grocery,704.06,0,Delivered,
O0000281,C011416,2026-04-18,Home,4166.13,0,Delivered,
O0000282,C004308,2026-03-22,Grocery,2285.26,0,Delivered,
O0000283,C006349,2026-03-01,Grocery,2424.94,0,Delivered,
O0000284,C002929,2026-01-27,Fashion,3385.14,0,Delivered,
O0000285,C004823,2026-04-09,Electronics,2843.01,0,Returned,
O0000286,C000573,2026-07-12,Home,696.01,0,Delivered,
O0000287,C008261,2026-01-12,Fashion,3294.76,0,Delivered,
O0000288,C002340,2026-01-16,Electronics,2915.35,1072,Delivered,
O0000289,C004385,2026-07-19,Beauty,2882.57,0,Delivered,
O0000290,C009921,2026-03-23,Beauty,2737.83,1006,Delivered,
O0000291,C005644,2026-03-12,Electronics,1245.23,0,Returned,
O0000292,C000465,2026-04-25,Fashion,3550.67,365,Delivered,
O0000293,C011348,2026-06-07,Grocery,351.41,0,Delivered,
O0000294,C010126,2026-06-24,Electronics,1596.18,101,Delivered,
O0000295,C000950,2026-02-07,Electronics,3424.03,0,Returned,
O0000296,C000578,2026-01-17,Electronics,614.31,0,Delivered,
O0000297,C011534,2026-04-19,Grocery,2312.60,0,Returned,
O0000298,C009732,2026-03-14,Beauty,3243.42,0,Delivered,
O0000299,C011530,2026-07-04,Beauty,1681.43,0,Delivered,
O0000300,C008639,2026-03-20,Grocery,196.76,0,Returned,
O0000301,C010907,2026-05-13,Grocery,2256.51,0,Delivered,
O0000302,C010792,2026-06-24,Fashion,4338.70,0,Delivered,
O0000303,C000486,2026-04-23,Home,2236.53,0,Delivered,
O0000304,C000605,2026-02-08,Grocery,3740.11,1646,Returned,
O0000305,C010089,2026-07-01,Beauty,4334.89,0,Returned,
O0000306,C009342,2026-03-04,Home,4175.79,0,Delivered,
O0000307,C010983,2026-03-06,Electronics,811.96,924,Delivered,
O0000308,C004630,2026-01-09,Fashion,533.12,888,Returned,
O0000309,C000365,2026-01-08,Electronics,4220.96,0,Delivered,
O0000310,C001669,2026-07-06,Beauty,1078.72,656,Delivered,
O0000311,C005252,2026-07-07,Electronics,2838.79,521,Delivered,
O0000312,C011110,2026-05-21,Home,294.28,0,Delivered,
O0000313,C009439,2026-04-24,Beauty,529.24,0,Delivered,
O0000314,C003983,2026-03-15,Electronics,2323.41,0,Returned,
O0000315,C007615,2026-01-07,Beauty,2124.63,1092,Delivered,
O0000316,C009173,2026-07-05,Fashion,1325.63,0,Returned,
O0000317,C002444,2026-05-04,Beauty,2677.49,0,Delivered,
O0000318,C008078,2026-04-05,Fashion,297.83,0,Delivered,
O0000319,C003416,2026-04-06,Grocery,666.67,0,Returned,
O0000320,C011474,2026-06-19,Home,3246.26,233,Returned,
O0000321,C003601,2026-02-03,Home,2549.46,0,Returned,
O0000322,C001302,2026-06-17,Beauty,3985.14,0,Delivered,
O0000323,C007677,2026-04-27,Grocery,3965.40,0,Delivered,
O0000324,C011350,2026-02-16,Home,3472.39,0,Returned,
O0000325,C010535,2026-03-24,Home,1023.28,0,Returned,
O0000326,C000965,2026-03-16,Home,1686.76,857,Returned,
O0000327,C008014,2026-02-03,Fashion,1433.60,1066,Delivered,
O0000328,C000860,2026-05-06,Home,1467.36,1712,Failed,loyalty_redemption_timeout
O0000329,C009845,2026-02-13,Fashion,1727.31,1102,Returned,
O0000330,C004878,2026-01-14,Home,3626.29,0,Delivered,
O0000331,C006640,2026-05-19,Beauty,2415.91,0,Delivered,
O0000332,C000170,2026-02-27,Home,2697.35,0,Delivered,
O0000333,C001272,2026-04-09,Fashion,4095.30,0,Delivered,
O0000334,C005530,2026-03-12,Grocery,2383.97,1359,Delivered,
O0000335,C010462,2026-02-21,Electronics,1950.12,0,Delivered,
O0000336,C002611,2026-06-02,Home,1723.42,0,Delivered,
O0000337,C008423,2026-06-16,Fashion,2105.71,0,Returned,
O0000338,C000171,2026-06-12,Fashion,1550.55,0,Delivered,
O0000339,C006341,2026-06-25,Grocery,3219.14,1439,Delivered,
O0000340,C004317,2026-06-25,Fashion,2756.77,152,Delivered,
O0000341,C007388,2026-07-11,Home,3363.72,1420,Returned,
O0000342,C002609,2026-07-08,Home,949.92,0,Delivered,
O0000343,C008424,2026-06-20,Beauty,1675.39,0,Returned,
O0000344,C001155,2026-07-10,Home,2104.16,0,Delivered,
O0000345,C007105,2026-05-25,Fashion,2800.58,0,Delivered,
O0000346,C009743,2026-03-11,Electronics,868.76,0,Returned,
O0000347,C011076,2026-05-14,Home,1655.40,0,Returned,
O0000348,C006309,2026-02-08,Fashion,2868.73,0,Delivered,
O0000349,C001807,2026-01-11,Home,694.58,0,Delivered,
O0000350,C010103,2026-07-23,Electronics,3402.60,0,Returned,
O0000351,C001755,2026-06-24,Home,3285.72,0,Delivered,
O0000352,C003614,2026-02-12,Electronics,2330.49,0,Delivered,
O0000353,C009661,2026-07-25,Home,2258.95,0,Delivered,
O0000354,C009427,2026-07-12,Fashion,1641.31,1849,Delivered,
O0000355,C008537,2026-06-27,Fashion,2881.34,0,Delivered,
O0000356,C003315,2026-05-07,Home,3318.44,0,Returned,
O0000357,C005770,2026-05-18,Electronics,259.29,0,Delivered,
O0000358,C004313,2026-04-06,Beauty,3467.82,0,Delivered,
O0000359,C007404,2026-06-13,Home,3534.68,0,Delivered,
O0000360,C010268,2026-06-20,Grocery,1875.41,0,Delivered,
O0000361,C000539,2026-04-14,Electronics,396.58,0,Returned,
O0000362,C004766,2026-06-21,Home,3418.37,0,Returned,
O0000363,C006347,2026-01-12,Electronics,1353.45,0,Delivered,
O0000364,C001650,2026-05-20,Beauty,3361.10,1481,Delivered,
O0000365,C004143,2026-07-27,Grocery,190.92,691,Delivered,
O0000366,C008486,2026-06-27,Grocery,2831.60,135,Returned,
O0000367,C000111,2026-03-24,Electronics,2214.98,1855,Returned,
O0000368,C009209,2026-05-04,Grocery,2659.59,0,Returned,
O0000369,C010717,2026-07-25,Fashion,697.87,0,Delivered,
O0000370,C010244,2026-01-05,Home,238.89,0,Returned,
O0000371,C007497,2026-03-16,Electronics,4211.12,0,Returned,
O0000372,C002509,2026-05-24,Grocery,741.25,0,Delivered,
O0000373,C001017,2026-04-21,Grocery,1989.27,939,Returned,
O0000374,C008673,2026-01-26,Home,934.62,0,Delivered,
O0000375,C009968,2026-07-04,Grocery,4301.72,121,Delivered,
O0000376,C009625,2026-02-12,Beauty,3701.09,0,Delivered,
O0000377,C002454,2026-06-21,Grocery,711.68,0,Returned,
O0000378,C004726,2026-07-23,Home,4303.05,1182,Delivered,
O0000379,C008874,2026-05-20,Fashion,1665.49,320,Delivered,
O0000380,C002610,2026-03-05,Grocery,2559.61,0,Delivered,
O0000381,C011823,2026-01-09,Home,324.89,0,Delivered,
O0000382,C007254,2026-04-10,Grocery,2587.29,0,Delivered,
O0000383,C004199,2026-01-25,Electronics,3031.45,0,Delivered,
O0000384,C011190,2026-02-03,Grocery,2298.42,0,Returned,
O0000385,C009976,2026-01-02,Beauty,3923.61,0,Returned,
O0000386,C009515,2026-07-22,Home,1038.58,0,Returned,
O0000387,C010624,2026-02-27,Fashion,3293.04,0,Delivered,
O0000388,C010471,2026-05-03,Grocery,1899.75,0,Delivered,
O0000389,C001447,2026-05-01,Beauty,3202.90,0,Delivered,
O0000390,C004637,2026-07-23,Electronics,3191.38,0,Delivered,
O0000391,C009864,2026-03-09,Beauty,1242.51,0,Delivered,
O0000392,C003351,2026-02-14,Grocery,3811.11,0,Delivered,
O0000393,C003083,2026-05-16,Grocery,2829.07,0,Returned,
O0000394,C007771,2026-01-08,Home,1008.26,0,Delivered,
O0000395,C011849,2026-01-22,Fashion,3337.61,0,Returned,
O0000396,C001836,2026-05-13,Beauty,3202.61,0,Delivered,
O0000397,C008597,2026-01-17,Fashion,2332.59,842,Delivered,
O0000398,C008794,2026-05-01,Beauty,4202.30,1491,Delivered,
O0000399,C006063,2026-03-15,Beauty,1621.37,0,Delivered,
O0000400,C011748,2026-03-22,Home,1282.58,0,Returned,
O0000401,C002931,2026-07-25,Grocery,3226.44,0,Delivered,
O0000402,C004700,2026-06-27,Home,3157.64,433,Returned,
O0000403,C008145,2026-06-02,Beauty,923.07,0,Delivered,
O0000404,C000792,2026-05-07,Grocery,1637.47,0,Returned,
O0000405,C002394,2026-03-20,Fashion,3525.73,0,Returned,
O0000406,C004310,2026-06-22,Home,2292.41,1601,Delivered,
O0000407,C006590,2026-02-08,Beauty,1535.22,0,Returned,
O0000408,C003592,2026-02-02,Beauty,1862.86,0,Returned,
O0000409,C003272,2026-04-15,Beauty,2269.44,129,Delivered,
O0000410,C007221,2026-02-23,Fashion,3394.64,0,Delivered,
O0000411,C003928,2026-01-18,Beauty,2869.13,0,Delivered,
O0000412,C009300,2026-04-10,Home,425.90,0,Delivered,
O0000413,C006771,2026-06-20,Fashion,1356.27,0,Delivered,
O0000414,C010758,2026-07-05,Beauty,1857.99,0,Returned,
O0000415,C004040,2026-07-27,Beauty,2407.56,0,Returned,
O0000416,C006160,2026-04-21,Electronics,3833.04,0,Delivered,
O0000417,C000042,2026-03-14,Fashion,3624.83,0,Returned,
