ticket_id,customer_id,created_date,issue_type,contact_channel,resolution_hours,ticket_status,satisfaction_score
T0000260,C010871,2026-06-16,Late delivery,Chat,4,Resolved,3
T0000261,C007906,2026-05-11,Refund delay,Email,4,Reopened,1
T0000262,C003194,2026-05-12,Late delivery,Phone,43,Resolved,2
T0000263,C000862,2026-05-12,Late delivery,Email,9,Resolved,1
T0000264,C011106,2026-02-08,Refund delay,Email,44,Resolved,5
T0000265,C003362,2026-06-05,Account access,Chat,39,Resolved,5
T0000266,C008895,2026-06-16,Refund delay,Phone,7,Resolved,5
T0000267,C003087,2026-06-15,Account access,Chat,33,Resolved,1
T0000268,C004689,2026-04-21,Refund delay,Chat,40,Reopened,2
T0000269,C003673,2026-03-11,Account access,Chat,15,Resolved,1
T0000270,C011327,2026-06-03,Late delivery,Chat,43,Resolved,5
T0000271,C003667,2026-07-13,Account access,Phone,29,Resolved,4
T0000272,C006696,2026-06-17,Damaged item,Email,37,Resolved,2
T0000273,C003988,2026-07-21,Refund delay,Chat,9,Resolved,4
T0000274,C007029,2026-05-18,Account access,Email,47,Resolved,2
T0000275,C000296,2026-04-27,Incorrect points balance,Chat,57,Resolved,1
T0000276,C006322,2026-02-12,Late delivery,Email,30,Resolved,3
T0000277,C008146,2026-07-06,Account access,Email,35,Reopened,3
T0000278,C005125,2026-05-12,Late delivery,Chat,31,Resolved,5
T0000279,C003334,2026-01-20,Incorrect points balance,Email,91,Resolved,3
T0000280,C004436,2026-07-17,Refund delay,Chat,41,Resolved,5
T0000281,C005209,2026-04-03,Late delivery,Email,7,Resolved,3
T0000282,C004855,2026-02-26,Damaged item,Email,32,Resolved,5
T0000283,C003728,2026-07-07,Refund delay,Phone,20,Resolved,5
T0000284,C003028,2026-07-01,Account access,Phone,40,Resolved,4
T0000285,C006003,2026-06-02,Account access,Chat,37,Resolved,3
T0000286,C007939,2026-07-26,Late delivery,Phone,44,Resolved,1
T0000287,C002290,2026-07-13,Refund delay,Chat,34,Resolved,3
T0000288,C009347,2026-03-26,Account access,Email,37,Resolved,4
T0000289,C008577,2026-04-24,Account access,Phone,14,Resolved,5
T0000290,C003394,2026-03-20,Missing loyalty points,Phone,28,Reopened,4
T0000291,C009325,2026-03-15,Late delivery,Phone,28,Resolved,4
T0000292,C005602,2026-05-04,Damaged item,Chat,9,Resolved,2
T0000293,C011037,2026-05-05,Damaged item,Email,2,Resolved,2
T0000294,C008065,2026-04-15,Account access,Email,20,Resolved,3
T0000295,C000485,2026-06-19,Damaged item,Phone,10,Resolved,1
T0000296,C010729,2026-07-03,Late delivery,Phone,28,Resolved,5
T0000297,C008576,2026-04-16,Late delivery,Email,35,Resolved,3
T0000298,C009934,2026-07-14,Late delivery,Email,34,Resolved,5
T0000299,C008322,2026-06-03,Account access,Chat,6,Resolved,2
T0000300,C007399,2026-05-04,Damaged item,Phone,6,Resolved,3
T0000301,C009357,2026-01-24,Damaged item,Email,35,Resolved,5
T0000302,C004074,2026-04-09,Late delivery,Phone,31,Reopened,3
T0000303,C007011,2026-03-20,Refund delay,Phone,44,Resolved,2
T0000304,C001858,2026-05-27,Account access,Email,11,Resolved,2
T0000305,C002564,2026-02-22,Incorrect points balance,Email,22,Resolved,4
T0000306,C008851,2026-03-08,Damaged item,Email,44,Resolved,4
T0000307,C003719,2026-04-01,Refund delay,Email,10,Resolved,2
T0000308,C006396,2026-07-06,Refund delay,Email,10,Resolved,3
T0000309,C011823,2026-06-19,Damaged item,Chat,17,Resolved,2
T0000310,C010528,2026-07-15,Refund delay,Phone,4,Resolved,3
T0000311,C003465,2026-01-18,Missing loyalty points,Email,73,Resolved,5
T0000312,C006891,2026-01-07,Damaged item,Email,47,Resolved,4
T0000313,C001796,2026-07-06,Redemption failed,Email,10,Reopened,5
T0000314,C004825,2026-06-16,Account access,Email,37,Resolved,1
T0000315,C001411,2026-05-16,Account access,Phone,30,Resolved,1
T0000316,C008216,2026-07-16,Refund delay,Chat,47,Resolved,1
T0000317,C000190,2026-02-15,Damaged item,Phone,44,Resolved,4
T0000318,C003970,2026-04-13,Account access,Phone,6,Resolved,2
T0000319,C009766,2026-05-06,Damaged item,Phone,11,Reopened,3
T0000320,C008958,2026-04-22,Account access,Chat,10,Resolved,5
T0000321,C004038,2026-03-17,Late delivery,Email,29,Resolved,1
T0000322,C006689,2026-03-15,Refund delay,Chat,17,Resolved,4
T0000323,C008002,2026-07-05,Account access,Phone,38,Reopened,4
T0000324,C003431,2026-05-06,Refund delay,Email,21,Resolved,1
T0000325,C011556,2026-06-17,Damaged item,Chat,7,Resolved,4
T0000326,C009803,2026-06-27,Damaged item,Chat,30,Resolved,2
T0000327,C006324,2026-04-14,Refund delay,Chat,34,Resolved,4
T0000328,C005747,2026-03-13,Late delivery,Email,27,Resolved,3
T0000329,C000293,2026-04-14,Account access,Phone,11,Resolved,2
T0000330,C008725,2026-01-18,Account access,Email,8,Resolved,5
T0000331,C007610,2026-01-19,Refund delay,Chat,35,Resolved,4
T0000332,C004761,2026-01-07,Late delivery,Chat,14,Resolved,1
T0000333,C010327,2026-01-02,Late delivery,Chat,28,Resolved,2
T0000334,C000794,2026-04-16,Refund delay,Email,29,Resolved,3
T0000335,C005800,2026-03-01,Late delivery,Chat,26,Resolved,2
T0000336,C009188,2026-02-04,Refund delay,Chat,18,Reopened,3
T0000337,C005977,2026-06-12,Account access,Chat,10,Reopened,1
T0000338,C004216,2026-07-22,Late delivery,Chat,10,Resolved,2
T0000339,C001055,2026-03-11,Refund delay,Phone,37,Resolved,3
T0000340,C002116,2026-01-25,Missing loyalty points,Email,31,Reopened,2
T0000341,C003747,2026-07-24,Damaged item,Email,45,Resolved,4
T0000342,C008097,2026-04-12,Damaged item,Chat,23,Resolved,3
T0000343,C009251,2026-06-17,Account access,Chat,16,Resolved,1
T0000344,C004553,2026-07-10,Refund delay,Email,47,Resolved,4
T0000345,C009842,2026-04-27,Account access,Email,45,Reopened,5
T0000346,C003321,2026-03-16,Redemption failed,Email,12,Resolved,3
T0000347,C009591,2026-04-06,Refund delay,Chat,42,Resolved,3
T0000348,C007591,2026-02-27,Late delivery,Email,18,Resolved,1
T0000349,C007814,2026-05-09,Late delivery,Phone,26,Resolved,3
T0000350,C005371,2026-06-03,Damaged item,Email,16,Resolved,5
T0000351,C008330,2026-06-05,Late delivery,Chat,10,Resolved,1
T0000352,C008497,2026-07-17,Late delivery,Chat,34,Resolved,2
T0000353,C000935,2026-02-12,Missing loyalty points,Phone,74,Resolved,2
T0000354,C004646,2026-07-13,Late delivery,Phone,46,Reopened,4
T0000355,C009067,2026-02-05,Late delivery,Phone,10,Resolved,1
T0000356,C006830,2026-02-12,Damaged item,Phone,21,Resolved,4
T0000357,C000349,2026-07-10,Refund delay,Email,36,Resolved,2
T0000358,C011782,2026-06-12,Damaged item,Chat,16,Resolved,1
T0000359,C000161,2026-02-05,Redemption failed,Email,48,Reopened,1
T0000360,C010654,2026-01-27,Late delivery,Chat,43,Resolved,2
T0000361,C006793,2026-04-23,Refund delay,Phone,26,Resolved,2
T0000362,C009689,2026-06-07,Late delivery,Phone,46,Reopened,3
T0000363,C001413,2026-05-14,Missing loyalty points,Chat,53,Reopened,5
T0000364,C004898,2026-05-10,Refund delay,Chat,7,Resolved,2
T0000365,C005042,2026-04-21,Account access,Chat,31,Resolved,1
T0000366,C006756,2026-07-24,Refund delay,Chat,30,Resolved,3
T0000367,C010406,2026-03-26,Late delivery,Chat,21,Resolved,4
T0000368,C005638,2026-07-18,Refund delay,Chat,20,Resolved,5
T0000369,C000276,2026-02-01,Late delivery,Phone,5,Resolved,1
T0000370,C005802,2026-07-06,Late delivery,Chat,20,Resolved,1
T0000371,C000056,2026-04-21,Refund delay,Phone,25,Resolved,1
T0000372,C007987,2026-01-22,Damaged item,Email,43,Resolved,5
T0000373,C008206,2026-03-14,Account access,Phone,7,Resolved,5
T0000374,C007649,2026-03-05,Refund delay,Chat,9,Resolved,4
T0000375,C008549,2026-04-23,Damaged item,Phone,26,Resolved,2
T0000376,C002071,2026-01-01,Redemption failed,Phone,28,Reopened,5
T0000377,C006028,2026-03-01,Damaged item,Phone,9,Resolved,1
T0000378,C005884,2026-03-08,Refund delay,Phone,15,Resolved,5
T0000379,C007291,2026-01-22,Damaged item,Email,40,Reopened,5
T0000380,C004986,2026-06-03,Late delivery,Phone,10,Resolved,3
T0000381,C000787,2026-03-26,Redemption failed,Chat,7,Reopened,1
T0000382,C010348,2026-03-26,Damaged item,Phone,40,Resolved,1
T0000383,C010242,2026-05-03,Account access,Phone,24,Resolved,2
T0000384,C007202,2026-01-15,Late delivery,Email,2,Resolved,1
T0000385,C005220,2026-03-27,Account access,Chat,32,Resolved,2
T0000386,C005596,2026-01-26,Damaged item,Chat,45,Resolved,1
T0000387,C004708,2026-06-24,Damaged item,Chat,18,Resolved,5
T0000388,C004537,2026-03-01,Late delivery,Email,45,Resolved,1
T0000389,C011939,2026-01-08,Account access,Chat,31,Resolved,5
T0000390,C002669,2026-04-11,Late delivery,Email,8,Resolved,3
T0000391,C006598,2026-03-22,Refund delay,Phone,38,Resolved,5
T0000392,C003624,2026-05-13,Account access,Chat,34,Resolved,2
T0000393,C006276,2026-03-09,Damaged item,Email,36,Resolved,3
T0000394,C011023,2026-02-12,Account access,Email,17,Resolved,4
T0000395,C004926,2026-04-02,Refund delay,Chat,26,Resolved,1
T0000396,C000436,2026-05-26,Incorrect points balance,Phone,2,Resolved,4
T0000397,C006718,2026-04-19,Account access,Email,34,Reopened,3
T0000398,C000739,2026-02-03,Missing loyalty points,Email,64,Resolved,4
T0000399,C006688,2026-06-17,Damaged item,Email,12,Resolved,2
T0000400,C010558,2026-07-20,Account access,Email,12,Resolved,4
T0000401,C004947,2026-02-21,Late delivery,Phone,24,Resolved,1
T0000402,C004324,2026-06-19,Late delivery,Email,41,Resolved,3
