customer_id,join_date,region,acquisition_channel,tenure_months,loyalty_source,points_balance,points_variance,customer_status
C000054,2021-07-09,Eastern Cape,Referral,35,MIG-2025-11,6843,0,Active
C000055,2022-09-08,Western Cape,Referral,41,MIG-2025-11,5852,0,Active
C000056,2022-01-02,KwaZulu-Natal,Social,12,MIG-2025-11,6072,0,Active
C000057,2022-02-26,Western Cape,Paid Search,26,MIG-2025-11,810,0,Active
C000058,2024-01-14,Limpopo,Paid Search,40,MIG-2025-11,685,755,Churned
C000059,2021-10-07,Limpopo,Social,12,MIG-2025-11,2599,0,Active
C000060,2022-06-11,Eastern Cape,Paid Search,39,MIG-2025-11,6365,1678,Active
C000061,2022-01-01,Western Cape,Social,7,MIG-2025-11,2199,0,Churned
C000062,2020-04-22,Eastern Cape,Organic,28,MIG-2025-11,5833,727,Churned
C000063,2022-11-19,Limpopo,Referral,10,MIG-2025-11,1254,927,Churned
C000064,2020-10-02,Eastern Cape,Paid Search,8,MIG-2025-11,4918,0,Active
C000065,2020-05-09,Western Cape,Paid Search,33,MIG-2025-11,4491,0,Active
C000066,2021-07-01,KwaZulu-Natal,Email,11,MIG-2025-11,6739,0,Active
C000067,2022-05-18,Limpopo,Referral,25,MIG-2025-11,3866,0,Active
C000068,2024-11-19,Eastern Cape,Referral,54,MIG-2025-11,1087,0,Active
C000069,2020-08-03,Limpopo,Email,45,MIG-2025-11,5259,0,Active
C000070,2023-10-17,Gauteng,Organic,21,MIG-2025-11,6407,883,Churned
C000071,2022-09-25,Limpopo,Referral,8,MIG-2025-11,6473,0,Active
C000072,2020-04-12,Western Cape,Referral,35,MIG-2025-11,6539,0,Active
C000073,2021-01-01,Western Cape,Organic,22,MIG-2025-11,2150,0,Active
C000074,2024-07-17,Eastern Cape,Referral,19,MIG-2025-11,3038,0,Active
C000075,2023-04-24,Gauteng,Email,43,MIG-2025-11,3931,0,Active
C000076,2024-05-12,Eastern Cape,Social,17,MIG-2025-11,3261,0,Active
C000077,2021-10-16,Western Cape,Referral,44,MIG-2025-11,1773,0,Active
C000078,2024-04-17,Limpopo,Social,58,MIG-2025-11,3472,0,Active
C000079,2024-08-03,Eastern Cape,Organic,14,MIG-2025-11,2118,0,Active
C000080,2020-05-07,Eastern Cape,Organic,38,MIG-2025-11,4190,1564,Churned
C000081,2023-11-16,KwaZulu-Natal,Organic,45,MIG-2025-11,2106,0,Active
C000082,2020-02-01,KwaZulu-Natal,Organic,14,MIG-2025-11,831,756,Churned
C000083,2021-09-12,Limpopo,Social,25,MIG-2025-11,2399,0,Active
C000084,2020-09-25,KwaZulu-Natal,Social,42,MIG-2025-11,1563,905,Active
C000085,2021-02-05,KwaZulu-Natal,Social,7,MIG-2025-11,3842,0,Active
C000086,2022-07-06,Western Cape,Email,19,MIG-2025-11,2886,0,Active
C000087,2021-09-05,Limpopo,Social,36,MIG-2025-11,4679,466,Churned
C000088,2022-08-19,Limpopo,Social,39,MIG-2025-11,1626,0,Active
C000089,2024-02-01,Limpopo,Paid Search,43,MIG-2025-11,3886,0,Churned
C000090,2024-11-18,Limpopo,Referral,44,MIG-2025-11,6453,116,Churned
C000091,2020-11-14,Eastern Cape,Paid Search,21,MIG-2025-11,5145,0,Active
C000092,2024-01-06,Eastern Cape,Organic,8,MIG-2025-11,5784,1419,Churned
C000093,2023-04-19,KwaZulu-Natal,Referral,12,MIG-2025-11,2267,0,Active
C000094,2022-02-23,Gauteng,Referral,55,MIG-2025-11,2538,0,Active
C000095,2021-05-03,KwaZulu-Natal,Email,6,MIG-2025-11,207,0,Active
C000096,2024-09-27,Limpopo,Organic,16,MIG-2025-11,2500,774,Churned
C000097,2020-04-02,Eastern Cape,Email,45,MIG-2025-11,2801,0,Churned
C000098,2023-11-08,Gauteng,Social,27,MIG-2025-11,3730,0,Active
C000099,2022-05-11,Eastern Cape,Referral,30,MIG-2025-11,2522,0,Active
C000100,2020-06-15,Limpopo,Paid Search,33,MIG-2025-11,2254,0,Active
C000101,2021-06-25,KwaZulu-Natal,Email,21,MIG-2025-11,6852,0,Active
C000102,2024-06-23,Eastern Cape,Email,29,MIG-2025-11,1457,234,Active
C000103,2024-05-15,KwaZulu-Natal,Paid Search,39,MIG-2025-11,5258,0,Active
C000104,2022-06-05,Eastern Cape,Paid Search,57,MIG-2025-11,6812,0,Churned
C000105,2021-08-11,Western Cape,Paid Search,59,MIG-2025-11,2578,0,Active
C000106,2021-07-13,Gauteng,Organic,58,MIG-2025-11,969,0,Active
C000107,2024-04-05,KwaZulu-Natal,Email,48,MIG-2025-11,4165,0,Active
C000108,2022-10-11,Eastern Cape,Social,55,MIG-2025-11,522,1089,Active
C000109,2020-03-24,Eastern Cape,Email,13,MIG-2025-11,487,0,Active
C000110,2020-04-23,Eastern Cape,Email,27,MIG-2025-11,4751,0,Active
C000111,2021-08-16,Eastern Cape,Referral,33,MIG-2025-11,3280,897,Churned
C000112,2020-03-03,KwaZulu-Natal,Referral,40,MIG-2025-11,5434,673,Churned
C000113,2020-09-23,KwaZulu-Natal,Organic,27,MIG-2025-11,2797,0,Active
C000114,2024-03-12,Limpopo,Paid Search,29,MIG-2025-11,4592,0,Active
C000115,2021-10-10,Eastern Cape,Referral,47,MIG-2025-11,6536,0,Churned
C000116,2021-01-06,Limpopo,Referral,17,MIG-2025-11,4464,0,Active
C000117,2021-07-20,KwaZulu-Natal,Social,8,MIG-2025-11,4543,145,Churned
C000118,2024-10-15,Gauteng,Social,28,MIG-2025-11,4857,0,Active
C000119,2023-09-16,KwaZulu-Natal,Social,30,MIG-2025-11,5927,1389,Churned
C000120,2021-12-07,Western Cape,Organic,35,MIG-2025-11,6940,0,Active
C000121,2023-03-24,Limpopo,Social,56,MIG-2025-11,2635,0,Active
C000122,2020-10-21,Western Cape,Referral,7,MIG-2025-11,1846,0,Active
C000123,2022-04-09,Eastern Cape,Email,8,MIG-2025-11,608,1084,Churned
C000124,2023-01-02,Eastern Cape,Organic,18,MIG-2025-11,4025,0,Active
C000125,2021-12-24,Eastern Cape,Social,6,MIG-2025-11,4524,0,Active
C000126,2020-05-20,Gauteng,Email,41,MIG-2025-11,382,272,Active
C000127,2023-05-03,Limpopo,Organic,40,MIG-2025-11,1193,0,Active
C000128,2020-08-21,Western Cape,Paid Search,50,MIG-2025-11,2532,0,Churned
C000129,2022-08-23,Western Cape,Social,23,MIG-2025-11,403,0,Active
C000130,2023-08-09,Eastern Cape,Referral,52,MIG-2025-11,2923,0,Active
C000131,2020-07-14,Limpopo,Referral,25,MIG-2025-11,284,0,Active
C000132,2023-03-22,Limpopo,Social,28,MIG-2025-11,2243,1549,Churned
C000133,2024-12-21,KwaZulu-Natal,Paid Search,55,MIG-2025-11,3806,0,Active
C000134,2023-05-05,Western Cape,Social,23,MIG-2025-11,4363,804,Churned
C000135,2024-08-11,Eastern Cape,Social,35,MIG-2025-11,6499,0,Active
C000136,2020-12-07,Limpopo,Paid Search,14,MIG-2025-11,4449,1055,Churned
C000137,2022-06-15,Eastern Cape,Organic,55,MIG-2025-11,5007,0,Active
C000138,2023-08-02,Eastern Cape,Paid Search,45,MIG-2025-11,1648,0,Active
C000139,2022-04-27,Gauteng,Referral,22,MIG-2025-11,4739,0,Active
C000140,2021-07-02,Gauteng,Referral,25,MIG-2025-11,641,840,Churned
C000141,2021-08-13,Limpopo,Organic,59,MIG-2025-11,1958,0,Active
C000142,2022-12-17,Western Cape,Organic,11,MIG-2025-11,1715,404,Churned
C000143,2024-08-06,Limpopo,Organic,7,MIG-2025-11,2494,0,Active
C000144,2021-09-26,Limpopo,Social,45,MIG-2025-11,6940,739,Active
C000145,2024-02-25,KwaZulu-Natal,Organic,31,MIG-2025-11,2899,850,Active
C000146,2022-10-01,Gauteng,Referral,16,MIG-2025-11,2881,0,Active
C000147,2023-07-22,Western Cape,Referral,38,MIG-2025-11,933,0,Active
C000148,2023-04-08,Limpopo,Email,15,MIG-2025-11,4242,0,Active
C000149,2022-03-05,KwaZulu-Natal,Social,20,MIG-2025-11,4045,220,Churned
C000150,2024-08-27,Gauteng,Social,43,MIG-2025-11,3994,100,Churned
C000151,2021-09-26,Limpopo,Paid Search,24,MIG-2025-11,1562,700,Churned
C000152,2023-06-22,Eastern Cape,Referral,47,MIG-2025-11,4333,0,Active
C000153,2022-02-16,Gauteng,Social,59,MIG-2025-11,1861,0,Active
C000154,2020-04-24,Western Cape,Referral,32,MIG-2025-11,4126,0,Active
C000155,2020-12-25,KwaZulu-Natal,Social,26,MIG-2025-11,6767,221,Active
C000156,2020-06-19,Eastern Cape,Paid Search,55,MIG-2025-11,6716,0,Active
C000157,2020-10-16,Limpopo,Email,26,MIG-2025-11,4341,507,Churned
C000158,2022-06-06,Western Cape,Social,51,MIG-2025-11,5728,1094,Churned
C000159,2023-10-19,Gauteng,Social,55,MIG-2025-11,7120,110,Active
C000160,2022-06-23,Eastern Cape,Paid Search,28,MIG-2025-11,5572,1076,Active
C000161,2020-12-08,KwaZulu-Natal,Social,29,MIG-2025-11,2814,149,Churned
C000162,2022-08-12,KwaZulu-Natal,Paid Search,33,MIG-2025-11,4760,0,Active
C000163,2021-04-15,Gauteng,Email,55,MIG-2025-11,6718,0,Active
C000164,2021-12-14,Gauteng,Referral,52,MIG-2025-11,6694,0,Active
C000165,2020-02-03,Gauteng,Organic,45,MIG-2025-11,2220,628,Churned
C000166,2023-11-09,Western Cape,Referral,3,MIG-2025-11,1207,0,Active
C000167,2020-03-10,KwaZulu-Natal,Email,26,MIG-2025-11,3289,0,Active
C000168,2021-11-21,Western Cape,Email,38,MIG-2025-11,4578,459,Active
C000169,2022-04-19,Western Cape,Referral,44,MIG-2025-11,3551,0,Active
C000170,2024-01-01,KwaZulu-Natal,Email,26,MIG-2025-11,4885,344,Churned
C000171,2022-08-15,Western Cape,Paid Search,9,MIG-2025-11,1019,0,Active
C000172,2024-08-10,Limpopo,Paid Search,51,MIG-2025-11,7165,561,Churned
C000173,2022-12-07,KwaZulu-Natal,Email,35,MIG-2025-11,7108,0,Active
C000174,2024-12-19,Gauteng,Email,52,MIG-2025-11,3583,1500,Active
C000175,2023-08-26,Eastern Cape,Social,23,MIG-2025-11,4466,1549,Churned
C000176,2020-05-20,Gauteng,Referral,21,MIG-2025-11,1044,682,Churned
C000177,2022-08-06,Western Cape,Referral,34,MIG-2025-11,4623,1512,Churned
C000178,2023-02-14,Gauteng,Referral,51,MIG-2025-11,3470,0,Active
C000179,2020-11-14,Gauteng,Organic,31,MIG-2025-11,40,708,Churned
C000180,2024-08-10,Gauteng,Referral,37,MIG-2025-11,3642,0,Active
C000181,2020-09-24,Western Cape,Social,48,MIG-2025-11,1330,0,Active
C000182,2021-10-12,KwaZulu-Natal,Referral,24,MIG-2025-11,1898,0,Active
C000183,2022-01-26,Limpopo,Social,12,MIG-2025-11,1902,555,Churned
C000184,2020-12-04,KwaZulu-Natal,Referral,31,MIG-2025-11,5850,1599,Active
C000185,2020-09-17,Eastern Cape,Referral,26,MIG-2025-11,2875,456,Churned
C000186,2024-03-12,KwaZulu-Natal,Referral,24,MIG-2025-11,4324,0,Active
C000187,2021-04-10,KwaZulu-Natal,Referral,13,MIG-2025-11,7173,222,Churned
C000188,2023-09-01,Limpopo,Social,37,MIG-2025-11,121,328,Churned
C000189,2022-11-12,KwaZulu-Natal,Email,56,MIG-2025-11,5326,0,Active
C000190,2022-04-14,KwaZulu-Natal,Paid Search,12,MIG-2025-11,951,0,Active
C000191,2024-11-18,KwaZulu-Natal,Referral,4,MIG-2025-11,6476,1481,Churned
C000192,2021-08-02,Eastern Cape,Organic,13,MIG-2025-11,6482,0,Active
C000193,2022-12-09,Eastern Cape,Organic,41,MIG-2025-11,544,0,Active
C000194,2022-04-17,Gauteng,Email,36,MIG-2025-11,3106,0,Active
C000195,2020-04-18,Limpopo,Email,30,MIG-2025-11,1578,0,Active
C000196,2021-02-14,Eastern Cape,Referral,13,MIG-2025-11,862,0,Active
C000197,2023-01-01,Eastern Cape,Social,45,MIG-2025-11,5790,0,Active
C000198,2020-04-04,KwaZulu-Natal,Paid Search,40,MIG-2025-11,2532,0,Active
C000199,2024-05-24,Gauteng,Organic,52,MIG-2025-11,1532,0,Active
C000200,2022-12-24,KwaZulu-Natal,Organic,42,MIG-2025-11,2545,0,Active
C000201,2021-01-16,Gauteng,Referral,5,MIG-2025-11,3523,231,Active
C000202,2020-02-10,Western Cape,Paid Search,25,MIG-2025-11,1728,703,Active
C000203,2023-11-04,Eastern Cape,Referral,11,MIG-2025-11,1622,0,Active
C000204,2020-12-10,Gauteng,Referral,40,MIG-2025-11,1940,0,Active
C000205,2020-10-06,Gauteng,Referral,50,MIG-2025-11,2832,0,Churned
C000206,2022-03-23,Gauteng,Social,50,MIG-2025-11,234,0,Active
C000207,2021-12-08,Gauteng,Paid Search,12,MIG-2025-11,1031,0,Active
C000208,2020-12-08,Limpopo,Referral,29,MIG-2025-11,1139,1360,Churned
C000209,2024-03-02,Gauteng,Email,44,MIG-2025-11,1300,0,Churned
C000210,2020-05-02,Gauteng,Paid Search,28,MIG-2025-11,1769,1486,Churned
C000211,2024-05-19,Eastern Cape,Organic,16,MIG-2025-11,4014,0,Active
C000212,2022-06-03,Limpopo,Email,28,MIG-2025-11,75,0,Active
C000213,2023-12-20,Limpopo,Referral,51,MIG-2025-11,6745,357,Churned
C000214,2024-12-23,Western Cape,Social,22,MIG-2025-11,3963,0,Active
C000215,2020-03-13,Eastern Cape,Organic,40,MIG-2025-11,4215,0,Active
C000216,2024-11-07,Gauteng,Social,49,MIG-2025-11,5080,0,Active
C000217,2022-06-27,Gauteng,Email,21,MIG-2025-11,4790,1636,Active
C000218,2021-01-01,Western Cape,Referral,9,MIG-2025-11,3791,0,Active
C000219,2023-02-09,Gauteng,Organic,38,MIG-2025-11,6143,0,Active
C000220,2021-05-24,Gauteng,Organic,22,MIG-2025-11,6103,0,Active
C000221,2020-07-01,Eastern Cape,Paid Search,9,MIG-2025-11,1340,0,Active
C000222,2021-06-19,Eastern Cape,Social,6,MIG-2025-11,5117,1596,Churned
C000223,2020-05-23,Gauteng,Referral,38,MIG-2025-11,5822,0,Active
C000224,2022-02-21,Eastern Cape,Organic,40,MIG-2025-11,1686,1086,Churned
C000225,2021-07-25,Western Cape,Email,35,MIG-2025-11,2366,0,Active
C000226,2021-12-06,KwaZulu-Natal,Email,24,MIG-2025-11,3571,0,Active
C000227,2020-07-25,KwaZulu-Natal,Paid Search,25,MIG-2025-11,575,0,Churned
C000228,2022-11-02,Eastern Cape,Paid Search,13,MIG-2025-11,1508,0,Active
C000229,2023-03-04,Western Cape,Social,41,MIG-2025-11,4271,373,Churned
C000230,2021-06-23,Western Cape,Organic,5,MIG-2025-11,2163,918,Churned
C000231,2020-01-26,Eastern Cape,Organic,31,MIG-2025-11,1348,352,Active
C000232,2022-11-15,KwaZulu-Natal,Paid Search,45,MIG-2025-11,4330,0,Active
C000233,2024-12-20,Western Cape,Social,8,MIG-2025-11,3592,794,Active
C000234,2023-08-04,Limpopo,Referral,50,MIG-2025-11,5493,0,Churned
C000235,2022-08-08,Gauteng,Referral,36,MIG-2025-11,6305,0,Active
C000236,2021-02-08,Limpopo,Social,34,MIG-2025-11,6642,883,Churned
C000237,2024-01-15,KwaZulu-Natal,Paid Search,19,MIG-2025-11,5547,0,Churned
C000238,2024-02-05,Limpopo,Referral,47,MIG-2025-11,6954,427,Churned
C000239,2024-01-10,Western Cape,Social,46,MIG-2025-11,756,213,Active
C000240,2024-04-19,Eastern Cape,Organic,38,MIG-2025-11,2055,0,Churned
C000241,2020-02-18,Limpopo,Email,19,MIG-2025-11,1582,737,Active
C000242,2021-04-03,Gauteng,Referral,8,MIG-2025-11,5386,1062,Active
C000243,2022-08-05,Western Cape,Paid Search,29,MIG-2025-11,1439,1543,Churned
C000244,2021-08-09,Limpopo,Email,24,MIG-2025-11,7189,0,Active
C000245,2023-06-27,KwaZulu-Natal,Referral,43,MIG-2025-11,4759,1669,Active
C000246,2020-04-08,Gauteng,Email,26,MIG-2025-11,1117,0,Active
C000247,2023-10-20,Limpopo,Organic,37,MIG-2025-11,6085,477,Churned
C000248,2023-04-21,Eastern Cape,Social,15,MIG-2025-11,2865,0,Active
C000249,2022-08-27,Gauteng,Email,41,MIG-2025-11,2519,0,Active
C000250,2024-09-22,Eastern Cape,Email,16,MIG-2025-11,4992,0,Active
C000251,2024-07-27,Limpopo,Paid Search,11,MIG-2025-11,5445,0,Active
C000252,2020-11-07,KwaZulu-Natal,Social,42,MIG-2025-11,1722,507,Churned
C000253,2022-12-25,Gauteng,Paid Search,5,MIG-2025-11,3087,0,Active
C000254,2024-01-18,Eastern Cape,Referral,7,MIG-2025-11,6392,0,Active
C000255,2022-12-11,KwaZulu-Natal,Referral,27,MIG-2025-11,5606,0,Active
C000256,2023-09-04,Limpopo,Social,43,MIG-2025-11,3048,1194,Churned
C000257,2024-05-22,Limpopo,Social,14,MIG-2025-11,993,0,Active
C000258,2023-04-23,KwaZulu-Natal,Organic,56,MIG-2025-11,2602,218,Churned
C000259,2024-10-20,Gauteng,Organic,42,MIG-2025-11,4830,0,Active
C000260,2021-01-23,Gauteng,Paid Search,20,MIG-2025-11,6002,0,Active
C000261,2024-03-07,Eastern Cape,Referral,44,MIG-2025-11,2238,0,Active
C000262,2021-05-27,Eastern Cape,Organic,33,MIG-2025-11,3986,0,Active
C000263,2021-02-04,Western Cape,Email,50,MIG-2025-11,2794,896,Churned
C000264,2021-08-01,Limpopo,Referral,13,MIG-2025-11,6472,0,Active
C000265,2024-12-01,Gauteng,Paid Search,21,MIG-2025-11,32,0,Active
C000266,2020-01-26,Eastern Cape,Paid Search,44,MIG-2025-11,2484,0,Active
C000267,2021-08-04,Gauteng,Email,48,MIG-2025-11,1345,0,Active
C000268,2022-02-08,Western Cape,Social,20,MIG-2025-11,4365,0,Active
C000269,2022-04-14,Limpopo,Social,19,MIG-2025-11,3740,0,Active
C000270,2021-01-20,Eastern Cape,Referral,6,MIG-2025-11,5234,619,Churned
C000271,2024-09-20,Eastern Cape,Referral,44,MIG-2025-11,4821,0,Active
C000272,2023-11-18,Western Cape,Social,19,MIG-2025-11,5226,707,Churned
C000273,2024-12-22,Gauteng,Social,12,MIG-2025-11,3209,0,Active
C000274,2024-01-23,Western Cape,Referral,55,MIG-2025-11,2985,1596,Active
C000275,2020-08-09,Eastern Cape,Paid Search,15,MIG-2025-11,170,0,Active
C000276,2020-05-17,Western Cape,Referral,12,MIG-2025-11,4995,0,Active
C000277,2024-03-27,Limpopo,Email,20,MIG-2025-11,5327,135,Churned
C000278,2023-01-20,Eastern Cape,Social,56,MIG-2025-11,5603,1059,Churned
C000279,2020-10-19,Limpopo,Paid Search,47,MIG-2025-11,2002,1644,Churned
C000280,2020-05-20,KwaZulu-Natal,Referral,7,MIG-2025-11,4609,0,Active
C000281,2021-01-13,Limpopo,Social,5,MIG-2025-11,2294,1595,Churned
C000282,2021-03-13,Gauteng,Organic,40,MIG-2025-11,502,0,Active
C000283,2024-11-11,Gauteng,Email,57,MIG-2025-11,6785,0,Active
C000284,2021-09-19,Western Cape,Organic,9,MIG-2025-11,2176,0,Active
C000285,2020-11-26,Gauteng,Paid Search,23,MIG-2025-11,6302,0,Churned
C000286,2024-04-13,Limpopo,Social,16,MIG-2025-11,4698,0,Churned
C000287,2021-04-21,Limpopo,Social,10,MIG-2025-11,3962,822,Active
C000288,2024-02-18,Eastern Cape,Referral,59,MIG-2025-11,1979,1541,Churned
C000289,2022-12-15,KwaZulu-Natal,Email,14,MIG-2025-11,668,0,Active
C000290,2024-09-17,Gauteng,Email,54,MIG-2025-11,4386,947,Active
C000291,2024-02-17,Eastern Cape,Social,20,MIG-2025-11,2528,250,Churned
C000292,2021-03-12,KwaZulu-Natal,Paid Search,51,MIG-2025-11,1224,806,Active
C000293,2024-09-13,Eastern Cape,Social,13,MIG-2025-11,25,0,Active
C000294,2023-05-03,Western Cape,Email,46,MIG-2025-11,6721,1060,Active
C000295,2022-04-09,Western Cape,Paid Search,39,MIG-2025-11,942,0,Active
C000296,2020-06-03,KwaZulu-Natal,Email,55,MIG-2025-11,4639,0,Active
C000297,2023-09-01,KwaZulu-Natal,Paid Search,10,MIG-2025-11,1822,145,Churned
C000298,2024-07-21,Limpopo,Referral,21,MIG-2025-11,2827,0,Active
C000299,2020-07-06,Western Cape,Organic,25,MIG-2025-11,1415,1181,Churned
C000300,2022-09-16,Gauteng,Social,8,MIG-2025-11,4395,0,Active
C000301,2021-11-24,Limpopo,Paid Search,17,MIG-2025-11,2115,0,Active
C000302,2024-09-18,KwaZulu-Natal,Social,30,MIG-2025-11,2508,0,Active
C000303,2021-04-10,KwaZulu-Natal,Organic,22,MIG-2025-11,1281,0,Active
C000304,2022-01-18,Limpopo,Referral,49,MIG-2025-11,5862,1019,Churned
C000305,2022-10-20,Gauteng,Referral,7,MIG-2025-11,6394,0,Active
C000306,2024-04-10,Eastern Cape,Email,38,MIG-2025-11,4656,0,Churned
C000307,2021-10-23,KwaZulu-Natal,Social,17,MIG-2025-11,397,0,Churned
C000308,2023-10-25,Gauteng,Paid Search,49,MIG-2025-11,4360,805,Churned
C000309,2021-03-09,Eastern Cape,Social,4,MIG-2025-11,6228,442,Active
C000310,2020-05-04,KwaZulu-Natal,Referral,16,MIG-2025-11,5605,0,Active
C000311,2021-11-15,KwaZulu-Natal,Referral,3,MIG-2025-11,933,539,Active
C000312,2020-04-25,Limpopo,Email,28,MIG-2025-11,5588,0,Active
C000313,2021-03-16,Gauteng,Referral,55,MIG-2025-11,5643,0,Active
C000314,2024-11-14,Limpopo,Organic,8,MIG-2025-11,7070,0,Active
C000315,2024-11-08,Limpopo,Referral,13,MIG-2025-11,1644,0,Active
C000316,2020-07-04,Western Cape,Organic,32,MIG-2025-11,3897,0,Active
C000317,2022-06-01,Gauteng,Organic,56,MIG-2025-11,2423,0,Active
C000318,2022-07-15,Western Cape,Referral,36,MIG-2025-11,5042,0,Active
C000319,2021-03-14,Eastern Cape,Paid Search,47,MIG-2025-11,5860,0,Active
C000320,2024-11-15,Limpopo,Social,20,MIG-2025-11,3521,0,Active
C000321,2023-02-23,Limpopo,Email,33,MIG-2025-11,4587,967,Active
C000322,2023-06-24,Limpopo,Social,16,MIG-2025-11,4472,0,Active
C000323,2020-07-09,Western Cape,Email,5,MIG-2025-11,5588,0,Active
C000324,2021-07-20,Western Cape,Email,18,MIG-2025-11,760,0,Churned
C000325,2021-08-15,Limpopo,Paid Search,44,MIG-2025-11,3371,1311,Churned
C000326,2022-12-26,Western Cape,Referral,59,MIG-2025-11,4657,0,Active
C000327,2020-02-22,Eastern Cape,Email,29,MIG-2025-11,5920,0,Active
C000328,2023-08-01,Limpopo,Organic,32,MIG-2025-11,5605,0,Active
C000329,2023-02-21,Western Cape,Organic,27,MIG-2025-11,4585,0,Active
C000330,2024-12-22,Eastern Cape,Paid Search,42,MIG-2025-11,1828,0,Active
C000331,2020-07-11,Western Cape,Organic,52,MIG-2025-11,847,1481,Churned
C000332,2024-08-04,Limpopo,Email,51,MIG-2025-11,4440,0,Churned
C000333,2023-05-15,Western Cape,Social,45,MIG-2025-11,2009,0,Active
C000334,2022-08-22,Gauteng,Social,4,MIG-2025-11,1407,1454,Active
